Name,TechnologyName,LocationName,Age,OwnerName,Capacity,Efficiency
Energy Producer I Nuclear,Nuclear,fblNode,28,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,17,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,24,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,27,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,20,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,16,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,28,Energy Producer J,1233.14,
Energy Producer F Hydro,Hydro,fblNode,12,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,19,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,15,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,20,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,10,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,10,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,20,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,16,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,17,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,16,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,17,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,17,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,17,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,10,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,14,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,19,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,12,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,10,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,17,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,15,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,19,Energy Producer F,1260.21,
Energy Producer G Hydro,Hydro,fblNode,12,Energy Producer G,1260.21,
Energy Producer H Hydro,Hydro,fblNode,10,Energy Producer H,1260.21,
Energy Producer I Hydro,Hydro,fblNode,17,Energy Producer I,1260.21,
Energy Producer J Hydro,Hydro,fblNode,15,Energy Producer J,1260.21,
Renewable Target Investor FBL Wind,Wind,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Wind,Wind,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL WindOffshore,WindOffshore,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Biomass,Biomass,fblNode,2,Renewable Target Investor FBL,750.21,
Renewable Target Investor FBL Biomass,Biomass,fblNode,2,Renewable Target Investor FBL,750.21,
