Name,TechnologyName,LocationName,Age,OwnerName,Capacity,Efficiency
Energy Producer I Nuclear,Nuclear,fblNode,28,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,17,Energy Producer J,1233.14,
Energy Producer F Nuclear,Nuclear,fblNode,24,Energy Producer F,1233.14,
Energy Producer G Nuclear,Nuclear,fblNode,27,Energy Producer G,1233.14,
Energy Producer H Nuclear,Nuclear,fblNode,20,Energy Producer H,1233.14,
Energy Producer I Nuclear,Nuclear,fblNode,16,Energy Producer I,1233.14,
Energy Producer J Nuclear,Nuclear,fblNode,28,Energy Producer J,1233.14,
Energy Producer F Hydro,Hydro,fblNode,12,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,19,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,15,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,20,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,10,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,10,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,20,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,16,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,17,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,16,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,17,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,17,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,17,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,10,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,14,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,19,Energy Producer F,945.45,
Energy Producer G Hydro,Hydro,fblNode,12,Energy Producer G,945.45,
Energy Producer H Hydro,Hydro,fblNode,10,Energy Producer H,945.45,
Energy Producer I Hydro,Hydro,fblNode,17,Energy Producer I,945.45,
Energy Producer J Hydro,Hydro,fblNode,15,Energy Producer J,945.45,
Energy Producer F Hydro,Hydro,fblNode,19,Energy Producer F,1260.21,
Energy Producer G Hydro,Hydro,fblNode,12,Energy Producer G,1260.21,
Energy Producer H Hydro,Hydro,fblNode,10,Energy Producer H,1260.21,
Energy Producer I Hydro,Hydro,fblNode,17,Energy Producer I,1260.21,
Energy Producer J Hydro,Hydro,fblNode,15,Energy Producer J,1260.21,
Energy Producer F Hydro,Hydro,fblNode,19,Energy Producer F,1260.21,
Energy Producer G Hydro,Hydro,fblNode,12,Energy Producer G,1260.21,
Energy Producer H Hydro,Hydro,fblNode,10,Energy Producer H,1260.21,
Energy Producer I Hydro,Hydro,fblNode,17,Energy Producer I,1260.21,
Energy Producer J Hydro,Hydro,fblNode,15,Energy Producer J,1260.21,
Renewable Target Investor FBL Wind,Wind,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Wind,Wind,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL WindOffshore,WindOffshore,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Photovoltaic,Photovoltaic,fblNode,2,Renewable Target Investor FBL,900.21,
Renewable Target Investor FBL Biomass,Biomass,fblNode,2,Renewable Target Investor FBL,750.21,
Renewable Target Investor FBL Biomass,Biomass,fblNode,2,Renewable Target Investor FBL,750.21,
Energy Producer K CoalPSC ,CoalPSC,deNode,10,Energy Producer K,758.21,
Energy Producer L CoalPSC ,CoalPSC,deNode,11,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,16,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,13,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,11,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,12,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,14,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,8,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,11,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,8,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,14,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,13,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,6,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,8,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,13,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,6,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,8,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,12,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,13,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,17,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,7,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,9,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,14,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,15,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,10,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,7,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,13,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,13,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,8,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,9,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,7,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,16,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,15,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,17,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,11,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,8,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,12,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,8,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,11,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,17,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,10,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,7,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,13,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,11,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,9,Energy Producer O,1060.61,
Energy Producer K CoalPSC ,CoalPSC,deNode,8,Energy Producer K,1060.61,
Energy Producer L CoalPSC ,CoalPSC,deNode,12,Energy Producer L,1060.61,
Energy Producer M CoalPSC ,CoalPSC,deNode,12,Energy Producer M,1060.61,
Energy Producer N CoalPSC ,CoalPSC,deNode,15,Energy Producer N,1060.61,
Energy Producer O CoalPSC ,CoalPSC,deNode,7,Energy Producer O,1060.61,
Energy Producer K CCGT,CCGT,deNode,12,Energy Producer K,1100.61,
Energy Producer L CCGT,CCGT,deNode,16,Energy Producer L,1100.61,
Energy Producer M CCGT,CCGT,deNode,11,Energy Producer M,1100.61,
Energy Producer N CCGT,CCGT,deNode,8,Energy Producer N,1100.61,
Energy Producer O CCGT,CCGT,deNode,14,Energy Producer O,1100.61,
Energy Producer K CCGT,CCGT,deNode,16,Energy Producer K,1100.61,
Energy Producer L CCGT,CCGT,deNode,9,Energy Producer L,1100.61,
Energy Producer M CCGT,CCGT,deNode,9,Energy Producer M,1100.61,
Energy Producer N CCGT,CCGT,deNode,12,Energy Producer N,1100.61,
Energy Producer O CCGT,CCGT,deNode,12,Energy Producer O,1100.61,
Energy Producer K CCGT,CCGT,deNode,13,Energy Producer K,1100.61,
Energy Producer L CCGT,CCGT,deNode,13,Energy Producer L,1100.61,
Energy Producer M CCGT,CCGT,deNode,10,Energy Producer M,1100.61,
Energy Producer N CCGT,CCGT,deNode,11,Energy Producer N,1100.61,
Energy Producer O CCGT,CCGT,deNode,13,Energy Producer O,1100.61,
Energy Producer K CCGT,CCGT,deNode,15,Energy Producer K,1100.61,
Energy Producer L CCGT,CCGT,deNode,14,Energy Producer L,1100.61,
Energy Producer M CCGT,CCGT,deNode,7,Energy Producer M,1100.61,
Energy Producer N CCGT,CCGT,deNode,6,Energy Producer N,1100.61,
Energy Producer O CCGT,CCGT,deNode,7,Energy Producer O,1100.61,
Energy Producer K CCGT,CCGT,deNode,6,Energy Producer K,1100.61,
Energy Producer L CCGT,CCGT,deNode,11,Energy Producer L,1100.61,
Energy Producer M CCGT,CCGT,deNode,8,Energy Producer M,1100.61,
Energy Producer N CCGT,CCGT,deNode,13,Energy Producer N,1100.61,
Energy Producer O CCGT,CCGT,deNode,16,Energy Producer O,1100.61,
Energy Producer K CCGT,CCGT,deNode,12,Energy Producer K,1100.61,
Energy Producer L CCGT,CCGT,deNode,15,Energy Producer L,1100.61,
Energy Producer M CCGT,CCGT,deNode,10,Energy Producer M,1100.61,
Energy Producer N CCGT,CCGT,deNode,6,Energy Producer N,1100.61,
Energy Producer O CCGT,CCGT,deNode,12,Energy Producer O,1100.61,
Energy Producer K Nuclear,Nuclear,deNode,12,Energy Producer K,1222.71,
Energy Producer L Nuclear,Nuclear,deNode,12,Energy Producer L,1222.71,
Energy Producer M Nuclear,Nuclear,deNode,11,Energy Producer M,1222.71,
Energy Producer N Nuclear,Nuclear,deNode,6,Energy Producer N,1222.71,
Energy Producer O Nuclear,Nuclear,deNode,15,Energy Producer O,1222.71,
Energy Producer K Nuclear,Nuclear,deNode,7,Energy Producer K,1222.71,
Energy Producer L Nuclear,Nuclear,deNode,17,Energy Producer L,1222.71,
Energy Producer M Nuclear,Nuclear,deNode,6,Energy Producer M,1222.71,
Energy Producer N Nuclear,Nuclear,deNode,11,Energy Producer N,1222.71,
Energy Producer O Nuclear,Nuclear,deNode,11,Energy Producer O,1222.71,
Energy Producer K Hydro,Hydro,deNode,12,Energy Producer K,1350.21,
Energy Producer L Hydro,Hydro,deNode,6,Energy Producer L,1350.21,
Energy Producer M Hydro,Hydro,deNode,6,Energy Producer M,1350.21,
Energy Producer N Hydro,Hydro,deNode,17,Energy Producer N,1350.21,
Energy Producer O Hydro,Hydro,deNode,11,Energy Producer O,1350.21,
Energy Producer K Hydro,Hydro,deNode,12,Energy Producer K,1350.21,
Energy Producer L Hydro,Hydro,deNode,6,Energy Producer L,1350.21,
Energy Producer M Hydro,Hydro,deNode,6,Energy Producer M,1350.21,
Energy Producer N Hydro,Hydro,deNode,17,Energy Producer N,1350.21,
Energy Producer O Hydro,Hydro,deNode,11,Energy Producer O,1350.21,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE Wind,Wind,deNode,2,Renewable Target Investor DE,3705.3,
Renewable Target Investor DE WindOffshore,WindOffshore,deNode,2,Renewable Target Investor DE,1157.21,
Renewable Target Investor DE WindOffshore,WindOffshore,deNode,2,Renewable Target Investor DE,1157.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Photovoltaic,Photovoltaic,deNode,2,Renewable Target Investor DE,3786.21,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
Renewable Target Investor DE Biomass,Biomass,deNode,2,Renewable Target Investor DE,801.71,
