hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
40,1.00192250,1.00659604,1.00635629,1.00373754,1.00621546,1.00810485,1.00181941,1.00838777,1.00411871,1.00611879,1.00154611,1.00154556,1.00554262,1.00629574,1.00578031,1.00654188,1.00249881,1.00442827
41,1.00852984,1.00883363,1.00533360,1.00308219,1.00433486,1.00780730,1.00368659,1.00534351,1.00819303,1.00606399,1.00555737,1.00431486,1.00706514,1.00277683,1.00329049,1.00360976,1.00571910,1.00867843
42,1.00589009,1.00644988,1.00376574,1.00606531,1.00204845,1.00514759,1.00139431,1.00367685,1.00225839,1.00117984,1.00143335,1.00501675,1.00760652,1.00792221,1.00613636,1.00189329,1.00346845,1.00532768
43,1.00274708,1.00508764,1.00570105,1.00595951,1.00373451,1.00606139,1.00293129,1.00797760,1.00757918,1.00127755,1.00113738,1.00869435,1.00212863,1.00224991,1.00783668,1.00632351,1.00837826,1.00857022
44,1.00823331,1.00610857,1.00222768,1.00851193,1.00278612,1.00228018,1.00148007,1.00368102,1.00642725,1.00708850,1.00681380,1.00876786,1.00291754,1.00607616,1.00412745,1.00844923,1.00483316,1.00877524
45,1.00159331,1.00880042,1.00118321,1.00448794,1.00471847,1.00217188,1.00263693,1.00894872,1.00766049,1.00239235,1.00550174,1.00482183,1.00625576,1.00120468,1.00220557,1.00546907,1.00796888,1.00465049
46,1.00430754,1.00767079,1.00674162,1.00890194,1.00397636,1.00585691,1.00378327,1.00825767,1.00538263,1.00683451,1.00471342,1.00120493,1.00224337,1.00383101,1.00645785,1.00119419,1.00516739,1.00101154
47,1.00275740,1.00842676,1.00582766,1.00568344,1.00794326,1.00725385,1.00688764,1.00859520,1.00144007,1.00832224,1.00531270,1.00710670,1.00748605,1.00331666,1.00155274,1.00779269,1.00604200,1.00812160
48,1.00195041,1.00260253,1.00132915,1.00645210,1.00345594,1.00530608,1.00409218,1.00527219,1.00124258,1.00117948,1.00774700,1.00829053,1.00524885,1.00182191,1.00683459,1.00819041,1.00853812,1.00476579
49,1.00323889,1.00594355,1.00536169,1.00440215,1.00313442,1.00443469,1.00684890,1.00483756,1.00481429,1.00398272,1.00248097,1.00125444,1.00280660,1.00406179,1.00307533,1.00374725,1.00624693,1.00819910
50,1.00284713,1.00362146,1.00249426,1.00736421,1.00199177,1.00259084,1.00769798,1.00320636,1.00778921,1.00314408,1.00810892,1.00859222,1.00454957,1.00434068,1.00481976,1.00473791,1.00197887,1.00368622
51,1.00639402,1.00174477,1.00463159,1.00155673,1.00194281,1.00455793,1.00619304,1.00783041,1.00103731,1.00883073,1.00628581,1.00695257,1.00454519,1.00866130,1.00428926,1.00405909,1.00559414,1.00281513
52,1.00729213,1.00446590,1.00658614,1.00591185,1.00341857,1.00391282,1.00357426,1.00294246,1.00652334,1.00620798,1.00524444,1.00682349,1.00754354,1.00241327,1.00301410,1.00855105,1.00348474,1.00791314
53,1.00475486,1.00579817,1.00531465,1.00893191,1.00228505,1.00428390,1.00177437,1.00675407,1.00599060,1.00160886,1.00681796,1.00306561,1.00144991,1.00126078,1.00539395,1.00610535,1.00705781,1.00827262
54,1.00432869,1.00709388,1.00282207,1.00297248,1.00462554,1.00809208,1.00629583,1.00234185,1.00199646,1.00509268,1.00774165,1.00150010,1.00775994,1.00625485,1.00585514,1.00149793,1.00157436,1.00157433
55,1.00550181,1.00398687,1.00113838,1.00603033,1.00571719,1.00104443,1.00555612,1.00798152,1.00639962,1.00412354,1.00609987,1.00358673,1.00273875,1.00730852,1.00813048,1.00772889,1.00419297,1.00674175
56,1.00383450,1.00149730,1.00399237,1.00210855,1.00885636,1.00361639,1.00574558,1.00518546,1.00810392,1.00771928,1.00857445,1.00283504,1.00227130,1.00739697,1.00473150,1.00175019,1.00612020,1.00134391
57,1.00647896,1.00456639,1.00359093,1.00808746,1.00654093,1.00388106,1.00753634,1.00818918,1.00487822,1.00571239,1.00219224,1.00671780,1.00195543,1.00120426,1.00360261,1.00156597,1.00494507,1.00135037
58,1.00131471,1.00832471,1.00477528,1.00306479,1.00378491,1.00304722,1.00428729,1.00464020,1.00469908,1.00864230,1.00146151,1.00784598,1.00347894,1.00668966,1.00420506,1.00688918,1.00362749,1.00102750
59,1.00872457,1.00492010,1.00698020,1.00750046,1.00409788,1.00153483,1.00337004,1.00849412,1.00560202,1.00553265,1.00283937,1.00865673,1.00730733,1.00880337,1.00151106,1.00391307,1.00197805,1.00882260
60,1.00829594,1.00682287,1.00653440,1.00890154,1.00545981,1.00324136,1.00793262,1.00182413,1.00313976,1.00279596,1.00455920,1.00446325,1.00374881,1.00490459,1.00824198,1.00573882,1.00746107,1.00354421
61,1.00862147,1.00444998,1.00640503,1.00787275,1.00795997,1.00505031,1.00207293,1.00126944,1.00787052,1.00734008,1.00832907,1.00292112,1.00897134,1.00176054,1.00815645,1.00379280,1.00592096,1.00696552
62,1.00524621,1.00390559,1.00641774,1.00125731,1.00103249,1.00673135,1.00319135,1.00607957,1.00162065,1.00278719,1.00809389,1.00284348,1.00698070,1.00481449,1.00290155,1.00638644,1.00670232,1.00822718
63,1.00520828,1.00826944,1.00156347,1.00497259,1.00842141,1.00864944,1.00374214,1.00495595,1.00552883,1.00887266,1.00616834,1.00758191,1.00536074,1.00529327,1.00693496,1.00433549,1.00520292,1.00442412
64,1.00380382,1.00108329,1.00444805,1.00514774,1.00155918,1.00417749,1.00742985,1.00244723,1.00693537,1.00878000,1.00828419,1.00648485,1.00507411,1.00844901,1.00776029,1.00260951,1.00380085,1.00344436
65,1.00879250,1.00195972,1.00786602,1.00316344,1.00345345,1.00664654,1.00302026,1.00296554,1.00601031,1.00329686,1.00762081,1.00247917,1.00144128,1.00740498,1.00214650,1.00744280,1.00751611,1.00830109
66,1.00488233,1.00533982,1.00839905,1.00557956,1.00652647,1.00130326,1.00734088,1.00743804,1.00788468,1.00237868,1.00597095,1.00108497,1.00113297,1.00361098,1.00268797,1.00526089,1.00760313,1.00844021
67,1.00527923,1.00410474,1.00514783,1.00620255,1.00737808,1.00128430,1.00241249,1.00782494,1.00424204,1.00448198,1.00546692,1.00713240,1.00705481,1.00831650,1.00687400,1.00577700,1.00208082,1.00784719
68,1.00357874,1.00331246,1.00125933,1.00621451,1.00820935,1.00685976,1.00843102,1.00219028,1.00582565,1.00393918,1.00510583,1.00506851,1.00305679,1.00675155,1.00701982,1.00899608,1.00395501,1.00493757
69,1.00524151,1.00644881,1.00670476,1.00279753,1.00774052,1.00806737,1.00490386,1.00895273,1.00422549,1.00731554,1.00529855,1.00740565,1.00196442,1.00355175,1.00271547,1.00293291,1.00142209,1.00644520
70,1.00430737,1.00452841,1.00115368,1.00306978,1.00840437,1.00507995,1.00166690,1.00808494,1.00108270,1.00448535,1.00746289,1.00152503,1.00296626,1.00145662,1.00755606,1.00798958,1.00777798,1.00354827
71,1.00142404,1.00644810,1.00263175,1.00478408,1.00669578,1.00263213,1.00676764,1.00241613,1.00139609,1.00533421,1.00384435,1.00847531,1.00154431,1.00470633,1.00431660,1.00699387,1.00658727,1.00644015
72,1.00244972,1.00897999,1.00796967,1.00648907,1.00747831,1.00609788,1.00796404,1.00712492,1.00710108,1.00285614,1.00272512,1.00436000,1.00739966,1.00699135,1.00569944,1.00799181,1.00678800,1.00475432
73,1.00257292,1.00816922,1.00492983,1.00732187,1.00398648,1.00605361,1.00625121,1.00118286,1.00259245,1.00813009,1.00784908,1.00342866,1.00832748,1.00175006,1.00460335,1.00402544,1.00798283,1.00790380
74,1.00607262,1.00313205,1.00130571,1.00625059,1.00810211,1.00146498,1.00576543,1.00853792,1.00458920,1.00558253,1.00707498,1.00659015,1.00865660,1.00408943,1.00163216,1.00814697,1.00221803,1.00275655
75,1.00765083,1.00883068,1.00651959,1.00347539,1.00475944,1.00273117,1.00344238,1.00710002,1.00779249,1.00610447,1.00259132,1.00725831,1.00229878,1.00649565,1.00635449,1.00390948,1.00542597,1.00386896
76,1.00100990,1.00136252,1.00284928,1.00867773,1.00498468,1.00381419,1.00726321,1.00728920,1.00383344,1.00486992,1.00785450,1.00133160,1.00353426,1.00486149,1.00479161,1.00377006,1.00155724,1.00626509
77,1.00259198,1.00618383,1.00144898,1.00216901,1.00108837,1.00106965,1.00133995,1.00147676,1.00440592,1.00687842,1.00762826,1.00669979,1.00181766,1.00132481,1.00520933,1.00175451,1.00561928,1.00773986
78,1.00841699,1.00579228,1.00653525,1.00855050,1.00583815,1.00167336,1.00593011,1.00779810,1.00754748,1.00166769,1.00452603,1.00653624,1.00719060,1.00763618,1.00769469,1.00381229,1.00462141,1.00281061
79,1.00714102,1.00202220,1.00155742,1.00167943,1.00666372,1.00393882,1.00617070,1.00530165,1.00376084,1.00341672,1.00201177,1.00699462,1.00380965,1.00894803,1.00468583,1.00214658,1.00436040,1.00442176
80,1.00693387,1.00757023,1.00115897,1.00552141,1.00395270,1.00689723,1.00587980,1.00589362,1.00235071,1.00426361,1.00601776,1.00702130,1.00297969,1.00601394,1.00701235,1.00834480,1.00488876,1.00489470
81,1.00259073,1.00817760,1.00111200,1.00802964,1.00645725,1.00718567,1.00887949,1.00449321,1.00394303,1.00450252,1.00693871,1.00455684,1.00422308,1.00185473,1.00711182,1.00351635,1.00648708,1.00544407
82,1.00213246,1.00127974,1.00862729,1.00269785,1.00245476,1.00704333,1.00565412,1.00424593,1.00566965,1.00563030,1.00181436,1.00663475,1.00238540,1.00493052,1.00827660,1.00675581,1.00567273,1.00520259
83,1.00757439,1.00223663,1.00693417,1.00525674,1.00446638,1.00498555,1.00191552,1.00288497,1.00276495,1.00740445,1.00199265,1.00241524,1.00213685,1.00555082,1.00662116,1.00594588,1.00265472,1.00196034
84,1.00177352,1.00823897,1.00656691,1.00645225,1.00480569,1.00364436,1.00711343,1.00755667,1.00617363,1.00558796,1.00633054,1.00394235,1.00515826,1.00113831,1.00703805,1.00631401,1.00540447,1.00379102
85,1.00240502,1.00322502,1.00546745,1.00805900,1.00173669,1.00851522,1.00118100,1.00231456,1.00630545,1.00516944,1.00472219,1.00574135,1.00102759,1.00671554,1.00369677,1.00130888,1.00326973,1.00203090
86,1.00488702,1.00609664,1.00318180,1.00350700,1.00666052,1.00146743,1.00661978,1.00485158,1.00598559,1.00567177,1.00544565,1.00650142,1.00750782,1.00443647,1.00494678,1.00550774,1.00261785,1.00849819
87,1.00503343,1.00158542,1.00776458,1.00548404,1.00120295,1.00112850,1.00822972,1.00786527,1.00364539,1.00519623,1.00258517,1.00437592,1.00237495,1.00110750,1.00257229,1.00232505,1.00456203,1.00684748
88,1.00571336,1.00768040,1.00368940,1.00125714,1.00546276,1.00247279,1.00752303,1.00298599,1.00750679,1.00416172,1.00547437,1.00347847,1.00538478,1.00741231,1.00498183,1.00801130,1.00261270,1.00579761
89,1.00760426,1.00284127,1.00819278,1.00275759,1.00868289,1.00398431,1.00852685,1.00585790,1.00333549,1.00535871,1.00759816,1.00810129,1.00166038,1.00789185,1.00419207,1.00271788,1.00250167,1.00777246
90,1.00550912,1.00597481,1.00423636,1.00713270,1.00125718,1.00160557,1.00454606,1.00591324,1.00449995,1.00388968,1.00291030,1.00107105,1.00822938,1.00745270,1.00561758,1.00648985,1.00545779,1.00831884
91,1.00239653,1.00798733,1.00623211,1.00210201,1.00232130,1.00499647,1.00315384,1.00699431,1.00650709,1.00194512,1.00140297,1.00121372,1.00732159,1.00390581,1.00474784,1.00742452,1.00414683,1.00293650
92,1.00753234,1.00523171,1.00535976,1.00659702,1.00355606,1.00285869,1.00699986,1.00682576,1.00787782,1.00620255,1.00699790,1.00476059,1.00434811,1.00605556,1.00881866,1.00176966,1.00674199,1.00599345
93,1.00849087,1.00446869,1.00283229,1.00488414,1.00285389,1.00202370,1.00740544,1.00794481,1.00478903,1.00302195,1.00778579,1.00296935,1.00497563,1.00294825,1.00632315,1.00300350,1.00216402,1.00353328
94,1.00775695,1.00192404,1.00298667,1.00462254,1.00844109,1.00121316,1.00835219,1.00575866,1.00466066,1.00220077,1.00467934,1.00124371,1.00332505,1.00656441,1.00328346,1.00238723,1.00529956,1.00604831
95,1.00541195,1.00884142,1.00719956,1.00759598,1.00415923,1.00424713,1.00846805,1.00884321,1.00504224,1.00638834,1.00623267,1.00535598,1.00251072,1.00142747,1.00285416,1.00752338,1.00188343,1.00499356
96,1.00291908,1.00515997,1.00544460,1.00349124,1.00307777,1.00124735,1.00813381,1.00266600,1.00117762,1.00722769,1.00320439,1.00831130,1.00782806,1.00518082,1.00111056,1.00416097,1.00616057,1.00230401
97,1.00359967,1.00735549,1.00533440,1.00425208,1.00577364,1.00301132,1.00509521,1.00640175,1.00268592,1.00511797,1.00344839,1.00716390,1.00596046,1.00660769,1.00504050,1.00565048,1.00832383,1.00846157
98,1.00749756,1.00424387,1.00398709,1.00337906,1.00416093,1.00787901,1.00750128,1.00739436,1.00725292,1.00837384,1.00676669,1.00669750,1.00507688,1.00542807,1.00231855,1.00585410,1.00466260,1.00698762
99,1.00390677,1.00698873,1.00498168,1.00779452,1.00477321,1.00234571,1.00639207,1.00827165,1.00564390,1.00889692,1.00550718,1.00272466,1.00620139,1.00245820,1.00188621,1.00522156,1.00862984,1.00581145
100,1.00381246,1.00100948,1.00767227,1.00168135,1.00129357,1.00229172,1.00293081,1.00121589,1.00710987,1.00489752,1.00137824,1.00687974,1.00447249,1.00879296,1.00673090,1.00720430,1.00247617,1.00668487
101,1.00817524,1.00137908,1.00110189,1.00162995,1.00348371,1.00351827,1.00412608,1.00386914,1.00855556,1.00756240,1.00790577,1.00229453,1.00710690,1.00113407,1.00306613,1.00698732,1.00151485,1.00200553
102,1.00263779,1.00172890,1.00237460,1.00832179,1.00852989,1.00587627,1.00130979,1.00107620,1.00366467,1.00744470,1.00660532,1.00785566,1.00148953,1.00739487,1.00543405,1.00519693,1.00483681,1.00719814
103,1.00448338,1.00699894,1.00596141,1.00673810,1.00310226,1.00390060,1.00779689,1.00474164,1.00159624,1.00613459,1.00897427,1.00389869,1.00121860,1.00215061,1.00134163,1.00509148,1.00405189,1.00832976
104,1.00714646,1.00235747,1.00369105,1.00202414,1.00668256,1.00397016,1.00515138,1.00822446,1.00848652,1.00846727,1.00726600,1.00136871,1.00469908,1.00204217,1.00853318,1.00456739,1.00772881,1.00656719
105,1.00301004,1.00701324,1.00441332,1.00886064,1.00849983,1.00893324,1.00238331,1.00807481,1.00506034,1.00695731,1.00408990,1.00497373,1.00323117,1.00887959,1.00528498,1.00743553,1.00112475,1.00169775
106,1.00523751,1.00820297,1.00515151,1.00390957,1.00608033,1.00761682,1.00361255,1.00766372,1.00369692,1.00462202,1.00703295,1.00719689,1.00151122,1.00144586,1.00790640,1.00293036,1.00808309,1.00399539
107,1.00329541,1.00613130,1.00499858,1.00668562,1.00497135,1.00564624,1.00673920,1.00806756,1.00407173,1.00856738,1.00481740,1.00188921,1.00620923,1.00495722,1.00858711,1.00838460,1.00367006,1.00255334
108,1.00443074,1.00273164,1.00393861,1.00828582,1.00157254,1.00483963,1.00714683,1.00265050,1.00219282,1.00833158,1.00777015,1.00321520,1.00289629,1.00895605,1.00680524,1.00666030,1.00180077,1.00762551
109,1.00120936,1.00113920,1.00472102,1.00712574,1.00853273,1.00177297,1.00354969,1.00236091,1.00821100,1.00329463,1.00501155,1.00644877,1.00352343,1.00415051,1.00138855,1.00724485,1.00846599,1.00835765
110,1.00261821,1.00157676,1.00515716,1.00645342,1.00552860,1.00146710,1.00344379,1.00277346,1.00861770,1.00311262,1.00161634,1.00101237,1.00140848,1.00138655,1.00422324,1.00294705,1.00156450,1.00709329
111,1.00814051,1.00402234,1.00222352,1.00725104,1.00274281,1.00251807,1.00816015,1.00540204,1.00183606,1.00843483,1.00274687,1.00545111,1.00376982,1.00392557,1.00201448,1.00880405,1.00566231,1.00119194
112,1.00290210,1.00436388,1.00442687,1.00395173,1.00386432,1.00800671,1.00890694,1.00427219,1.00509354,1.00211410,1.00195508,1.00134565,1.00544484,1.00549737,1.00135261,1.00262130,1.00137052,1.00769055
113,1.00194487,1.00534417,1.00648196,1.00240643,1.00897434,1.00648656,1.00634191,1.00363708,1.00220898,1.00639164,1.00198400,1.00211154,1.00892167,1.00289930,1.00579823,1.00525292,1.00381688,1.00705432
114,1.00883755,1.00322326,1.00305065,1.00495484,1.00145378,1.00838728,1.00777794,1.00477255,1.00287903,1.00899861,1.00235212,1.00476203,1.00663523,1.00886974,1.00617354,1.00575992,1.00203651,1.00565297
115,1.00284375,1.00407485,1.00554005,1.00745065,1.00717069,1.00545815,1.00118072,1.00431138,1.00538279,1.00525455,1.00196882,1.00437749,1.00348083,1.00147134,1.00391016,1.00585988,1.00749192,1.00890172
116,1.00171029,1.00298817,1.00607438,1.00485726,1.00122610,1.00762534,1.00339979,1.00217247,1.00699713,1.00182239,1.00849373,1.00638620,1.00638011,1.00511705,1.00508119,1.00668753,1.00618149,1.00443240
117,1.00769929,1.00640488,1.00268645,1.00611715,1.00333008,1.00468485,1.00477832,1.00324812,1.00723437,1.00810498,1.00323569,1.00129769,1.00118234,1.00436409,1.00797071,1.00808208,1.00761428,1.00452488
118,1.00464930,1.00428908,1.00826990,1.00111962,1.00694649,1.00531700,1.00748693,1.00377369,1.00694507,1.00826700,1.00611937,1.00377602,1.00318593,1.00786602,1.00670390,1.00425672,1.00396983,1.00203758
119,1.00268757,1.00584433,1.00698865,1.00338538,1.00610773,1.00817311,1.00518291,1.00640456,1.00862764,1.00672960,1.00535348,1.00235013,1.00630397,1.00143080,1.00831381,1.00360505,1.00318215,1.00783094
120,1.00260539,1.00191727,1.00608193,1.00448957,1.00839756,1.00241884,1.00368305,1.00157991,1.00274739,1.00150162,1.00451355,1.00258996,1.00897864,1.00663911,1.00295182,1.00312715,1.00280883,1.00708940
121,1.00838334,1.00285815,1.00195371,1.00309834,1.00392081,1.00883444,1.00883007,1.00762481,1.00296246,1.00381768,1.00275735,1.00532995,1.00775672,1.00228632,1.00369232,1.00408812,1.00516067,1.00104463
122,1.00868856,1.00184109,1.00263733,1.00360188,1.00503585,1.00402817,1.00506250,1.00490716,1.00692509,1.00648106,1.00720587,1.00731666,1.00200215,1.00698090,1.00205137,1.00850730,1.00573444,1.00507727
123,1.00717045,1.00444150,1.00274914,1.00604307,1.00120600,1.00354448,1.00578191,1.00678025,1.00163724,1.00267315,1.00496176,1.00805169,1.00290256,1.00626837,1.00132070,1.00330253,1.00172483,1.00211449
124,1.00516773,1.00581550,1.00762053,1.00668733,1.00657837,1.00744190,1.00826623,1.00424819,1.00418637,1.00771395,1.00794168,1.00587279,1.00438570,1.00847803,1.00555194,1.00306484,1.00319313,1.00547969
125,1.00691061,1.00479695,1.00210311,1.00198272,1.00300944,1.00132835,1.00155737,1.00579113,1.00856386,1.00258366,1.00245203,1.00723108,1.00680766,1.00196271,1.00323104,1.00639408,1.00417814,1.00821641
126,1.00535870,1.00176341,1.00147321,1.00602573,1.00194857,1.00757439,1.00191561,1.00192924,1.00132017,1.00290113,1.00717443,1.00542177,1.00110860,1.00388363,1.00654598,1.00700349,1.00107821,1.00802039
